disciplineName,eventName
3x3 Basketball,Men
3x3 Basketball,Women
Archery,Men's Team
Archery,Mixed Team
Archery,Women's Team
Artistic Gymnastics,Women's Team
Artistic Gymnastics,Men's Team
Artistic Swimming,Duet
Artistic Swimming,Team
Athletics,Women's 4 x 400m Relay
Athletics,4 x 400m Relay Mixed
Athletics,Men's 4 x 400m Relay
Athletics,Men's 4 x 100m Relay
Athletics,Women's 4 x 100m Relay
Baseball/Softball,Softball
Baseball/Softball,Baseball
Basketball,Men
Basketball,Women
Beach Volleyball,Men
Beach Volleyball,Women
Cycling Track,Men's Madison
Cycling Track,Men's Team Pursuit
Cycling Track,Men's Team Sprint
Cycling Track,Women's Madison
Cycling Track,Women's Team Pursuit
Cycling Track,Women's Team Sprint
Fencing,Men's Foil Team
Fencing,Women's Foil Team
Fencing,Men's Epee Team
Fencing,Women's Epee Team
Fencing,Women's Sabre Team
Fencing,Men's Sabre Team
Football,Men
Football,Women
Handball,Women
Handball,Men
Hockey,Men
Hockey,Women
Rhythmic Gymnastics,Group All-Around
Rugby Sevens,Men
Rugby Sevens,Women
Swimming,Men's 4 x 100m Freestyle Relay
Swimming,Men's 4 x 100m Medley Relay
Swimming,Men's 4 x 200m Freestyle Relay
Swimming,Mixed 4 x 100m Medley Relay
Swimming,Women's 4 x 100m Freestyle Relay
Swimming,Women's 4 x 100m Medley Relay
Swimming,Women's 4 x 200m Freestyle Relay
Table Tennis,Men's Team
Table Tennis,Mixed Doubles
Table Tennis,Women's Team
Triathlon,Mixed Relay
Volleyball,Men
Volleyball,Women
Water Polo,Men
Water Polo,Women
